,itemID,month,order,salesPrice
12757,1823.0,03-2018,115,23.0
12758,1823.0,04-2018,127,22.0
12759,1823.0,05-2018,6,22.0
12760,1823.0,06-2018,1,22.0
12762,1824.0,01-2018,0,75.0
12763,1824.0,02-2018,217,75.0
12764,1824.0,03-2018,82,97.0
12765,1824.0,04-2018,117,97.0
12766,1824.0,05-2018,127,91.0
12767,1824.0,06-2018,78,85.0
12769,1825.0,01-2018,0,39.0
12770,1825.0,02-2018,317,39.0
12771,1825.0,03-2018,95,32.0
12772,1825.0,04-2018,50,32.0
12773,1825.0,05-2018,102,33.0
12774,1825.0,06-2018,2,31.0
12776,1826.0,01-2018,0,6.0
12777,1826.0,02-2018,319,6.0
12778,1826.0,03-2018,67,9.0
12779,1826.0,04-2018,137,9.0
12780,1826.0,05-2018,79,6.0
12781,1826.0,06-2018,3,3.0
12783,1827.0,01-2018,0,21.0
12784,1827.0,02-2018,105,21.0
12785,1827.0,03-2018,80,24.0
12786,1827.0,04-2018,188,25.0
12787,1827.0,05-2018,87,23.0
12788,1827.0,06-2018,21,23.0
12790,1828.0,01-2018,0,13.0
12791,1828.0,02-2018,0,13.0
12792,1828.0,03-2018,194,13.0
12793,1828.0,04-2018,103,16.0
12794,1828.0,05-2018,104,10.0
12795,1828.0,06-2018,8,5.0
12797,1829.0,01-2018,0,12.0
12798,1829.0,02-2018,0,12.0
12799,1829.0,03-2018,127,12.0
12800,1829.0,04-2018,9,12.0
12801,1829.0,05-2018,113,12.0
12802,1829.0,06-2018,36,11.0
12804,1830.0,01-2018,0,24.0
12805,1830.0,02-2018,0,24.0
12806,1830.0,03-2018,146,24.0
12807,1830.0,04-2018,151,24.0
12808,1830.0,05-2018,65,26.0
12809,1830.0,06-2018,18,18.0
12811,1831.0,01-2018,0,19.0
12812,1831.0,02-2018,0,19.0
12813,1831.0,03-2018,140,19.0
12814,1831.0,04-2018,16,19.0
12815,1831.0,05-2018,1,19.0
12816,1831.0,06-2018,92,19.0
12818,1832.0,01-2018,0,34.0
12819,1832.0,02-2018,0,34.0
12820,1832.0,03-2018,224,34.0
12821,1832.0,04-2018,19,32.0
12822,1832.0,05-2018,2,32.0
12823,1832.0,06-2018,95,33.0
12825,1833.0,01-2018,0,71.0
12826,1833.0,02-2018,0,71.0
12827,1833.0,03-2018,160,71.0
12828,1833.0,04-2018,11,71.0
12829,1833.0,05-2018,125,59.0
12830,1833.0,06-2018,2,17.0
12832,1834.0,01-2018,0,93.0
12833,1834.0,02-2018,0,93.0
12834,1834.0,03-2018,235,93.0
12835,1834.0,04-2018,103,121.0
12836,1834.0,05-2018,4,121.0
12837,1834.0,06-2018,49,121.0
12839,1835.0,01-2018,0,82.0
12840,1835.0,02-2018,0,82.0
12841,1835.0,03-2018,128,82.0
12842,1835.0,04-2018,9,82.0
12843,1835.0,05-2018,115,69.0
12844,1835.0,06-2018,15,22.0
12846,1836.0,01-2018,0,93.0
12847,1836.0,02-2018,0,93.0
12848,1836.0,03-2018,205,93.0
12849,1836.0,04-2018,120,93.0
12850,1836.0,05-2018,5,93.0
12851,1836.0,06-2018,74,95.0
12853,1837.0,01-2018,0,24.0
12854,1837.0,02-2018,0,24.0
12855,1837.0,03-2018,145,24.0
12856,1837.0,04-2018,65,29.0
12857,1837.0,05-2018,58,29.0
12858,1837.0,06-2018,1,28.0
12860,1838.0,01-2018,0,64.0
12861,1838.0,02-2018,0,64.0
12862,1838.0,03-2018,205,64.0
12863,1838.0,04-2018,12,59.0
12864,1838.0,05-2018,122,59.0
12865,1838.0,06-2018,65,62.0
12867,1839.0,01-2018,0,10.0
12868,1839.0,02-2018,0,10.0
12869,1839.0,03-2018,146,10.0
12870,1839.0,04-2018,82,13.0
12871,1839.0,05-2018,42,12.0
12872,1839.0,06-2018,2,12.0
12874,1840.0,01-2018,0,24.0
12875,1840.0,02-2018,0,24.0
12876,1840.0,03-2018,242,24.0
12877,1840.0,04-2018,117,30.0
12878,1840.0,05-2018,79,22.0
12879,1840.0,06-2018,2,10.0
12881,1841.0,01-2018,0,4.0
12882,1841.0,02-2018,0,4.0
12883,1841.0,03-2018,179,4.0
12884,1841.0,04-2018,72,8.0
12885,1841.0,05-2018,31,8.0
12886,1841.0,06-2018,2,8.0
12888,1842.0,01-2018,0,87.0
12889,1842.0,02-2018,0,87.0
12890,1842.0,03-2018,202,87.0
12891,1842.0,04-2018,126,102.0
12892,1842.0,05-2018,25,102.0
12893,1842.0,06-2018,123,106.0
12895,1843.0,01-2018,0,10.0
12896,1843.0,02-2018,0,10.0
12897,1843.0,03-2018,130,10.0
12898,1843.0,04-2018,6,10.0
12899,1843.0,05-2018,132,7.0
12900,1843.0,06-2018,4,2.0
12902,1844.0,01-2018,0,12.0
12903,1844.0,02-2018,0,12.0
12904,1844.0,03-2018,156,12.0
12905,1844.0,04-2018,151,16.0
12906,1844.0,05-2018,68,15.0
12907,1844.0,06-2018,33,10.0
12909,1845.0,01-2018,0,5.0
12910,1845.0,02-2018,0,5.0
12911,1845.0,03-2018,12,5.0
12912,1845.0,04-2018,129,5.0
12913,1845.0,05-2018,9,6.0
12914,1845.0,06-2018,98,6.0
12916,1846.0,01-2018,0,87.0
12917,1846.0,02-2018,0,87.0
12918,1846.0,03-2018,5,87.0
12919,1846.0,04-2018,3,87.0
12920,1846.0,05-2018,221,87.0
12921,1846.0,06-2018,82,87.0
12923,1847.0,01-2018,0,89.0
12924,1847.0,02-2018,0,89.0
12925,1847.0,03-2018,3,89.0
12926,1847.0,04-2018,2,89.0
12927,1847.0,05-2018,141,89.0
12928,1847.0,06-2018,9,93.0
12930,1848.0,01-2018,0,49.0
12931,1848.0,02-2018,0,49.0
12932,1848.0,03-2018,142,49.0
12933,1848.0,04-2018,11,47.0
12934,1848.0,05-2018,117,47.0
12935,1848.0,06-2018,103,47.0
12937,1849.0,01-2018,0,33.0
12938,1849.0,02-2018,0,33.0
12939,1849.0,03-2018,0,33.0
12940,1849.0,04-2018,100,33.0
12941,1849.0,05-2018,56,39.0
12942,1849.0,06-2018,98,38.0
12944,1850.0,01-2018,0,15.0
12945,1850.0,02-2018,0,15.0
12946,1850.0,03-2018,139,15.0
12947,1850.0,04-2018,139,20.0
12948,1850.0,05-2018,5,20.0
12949,1850.0,06-2018,84,20.0
12951,1851.0,01-2018,0,14.0
12952,1851.0,02-2018,0,14.0
12953,1851.0,03-2018,133,14.0
12954,1851.0,04-2018,100,14.0
12955,1851.0,05-2018,81,16.0
12956,1851.0,06-2018,4,16.0
12958,1852.0,01-2018,0,16.0
12959,1852.0,02-2018,0,16.0
12960,1852.0,03-2018,0,16.0
12961,1852.0,04-2018,0,16.0
12962,1852.0,05-2018,253,16.0
12963,1852.0,06-2018,14,18.0
12965,1853.0,01-2018,0,9.0
12966,1853.0,02-2018,0,9.0
12967,1853.0,03-2018,0,9.0
12968,1853.0,04-2018,193,9.0
12969,1853.0,05-2018,9,9.0
12970,1853.0,06-2018,6,9.0
12972,1854.0,01-2018,117,92.0
12973,1854.0,02-2018,26,44.0
12974,1854.0,03-2018,10,40.0
12975,1854.0,04-2018,0,40.0
12976,1854.0,05-2018,0,40.0
12977,1854.0,06-2018,0,40.0
12979,1855.0,01-2018,1,20.0
12980,1855.0,02-2018,0,20.0
12981,1855.0,03-2018,0,20.0
12982,1855.0,04-2018,225,20.0
12983,1855.0,05-2018,11,20.0
12984,1855.0,06-2018,158,20.0
12986,1856.0,01-2018,0,9.0
12987,1856.0,02-2018,0,9.0
12988,1856.0,03-2018,0,9.0
12989,1856.0,04-2018,0,9.0
12990,1856.0,05-2018,0,9.0
12991,1856.0,06-2018,257,9.0
12993,1857.0,01-2018,0,75.0
12994,1857.0,02-2018,0,75.0
12995,1857.0,03-2018,0,75.0
12996,1857.0,04-2018,0,75.0
12997,1857.0,05-2018,227,75.0
12998,1857.0,06-2018,10,75.0
13000,1858.0,01-2018,2,13.0
13001,1858.0,02-2018,156,12.0
13002,1858.0,03-2018,8,12.0
13003,1858.0,04-2018,115,12.0
13004,1858.0,05-2018,1,12.0
13005,1858.0,06-2018,1,12.0
13007,1859.0,01-2018,0,17.0
13008,1859.0,02-2018,0,17.0
13009,1859.0,03-2018,0,17.0
13010,1859.0,04-2018,215,17.0
13011,1859.0,05-2018,5,16.0
13012,1859.0,06-2018,4,16.0
13014,1860.0,01-2018,196,35.0
13015,1860.0,02-2018,0,35.0
13016,1860.0,03-2018,1,48.0
13017,1860.0,04-2018,32,16.0
13018,1860.0,05-2018,0,16.0
13019,1860.0,06-2018,0,16.0
13021,1861.0,01-2018,211,10.0
13022,1861.0,02-2018,3,9.0
13023,1861.0,03-2018,3,9.0
13024,1861.0,04-2018,62,3.0
13025,1861.0,05-2018,0,3.0
13026,1861.0,06-2018,0,3.0
13028,1862.0,01-2018,5,3.0
13029,1862.0,02-2018,1,3.0
13030,1862.0,03-2018,3,3.0
13031,1862.0,04-2018,27,1.0
13032,1862.0,05-2018,0,1.0
13033,1862.0,06-2018,0,1.0
13035,1863.0,01-2018,6,31.0
13036,1863.0,02-2018,0,31.0
13037,1863.0,03-2018,2,31.0
13038,1863.0,04-2018,38,9.0
13039,1863.0,05-2018,0,9.0
13040,1863.0,06-2018,0,9.0
13042,1864.0,01-2018,0,15.0
13043,1864.0,02-2018,0,15.0
13044,1864.0,03-2018,33,15.0
13045,1864.0,04-2018,9,15.0
13046,1864.0,05-2018,3,15.0
13047,1864.0,06-2018,0,15.0
13049,1865.0,01-2018,0,42.0
13050,1865.0,02-2018,0,42.0
13051,1865.0,03-2018,56,42.0
13052,1865.0,04-2018,16,41.0
13053,1865.0,05-2018,5,41.0
13054,1865.0,06-2018,0,41.0
13056,1866.0,01-2018,0,93.0
13057,1866.0,02-2018,0,93.0
13058,1866.0,03-2018,0,93.0
13059,1866.0,04-2018,0,93.0
13060,1866.0,05-2018,193,93.0
13061,1866.0,06-2018,150,89.0
13063,1867.0,01-2018,0,12.0
13064,1867.0,02-2018,0,12.0
13065,1867.0,03-2018,0,12.0
13066,1867.0,04-2018,1,12.0
13067,1867.0,05-2018,252,12.0
13068,1867.0,06-2018,185,11.0
13070,1868.0,01-2018,1,57.0
13071,1868.0,02-2018,0,57.0
13072,1868.0,03-2018,0,57.0
13073,1868.0,04-2018,2,57.0
13074,1868.0,05-2018,3,57.0
13075,1868.0,06-2018,0,57.0
13077,1869.0,01-2018,0,34.0
13078,1869.0,02-2018,0,34.0
13079,1869.0,03-2018,0,34.0
13080,1869.0,04-2018,148,34.0
13081,1869.0,05-2018,103,34.0
13082,1869.0,06-2018,2,32.0
13084,1870.0,01-2018,0,48.0
13085,1870.0,02-2018,0,48.0
13086,1870.0,03-2018,0,48.0
13087,1870.0,04-2018,0,48.0
13088,1870.0,05-2018,96,48.0
13089,1870.0,06-2018,152,48.0
13091,1871.0,01-2018,0,2.0
13092,1871.0,02-2018,0,2.0
13093,1871.0,03-2018,0,2.0
13094,1871.0,04-2018,0,2.0
13095,1871.0,05-2018,103,2.0
13096,1871.0,06-2018,3,2.0
13098,1872.0,01-2018,0,139.0
13099,1872.0,02-2018,0,139.0
13100,1872.0,03-2018,22,139.0
13101,1872.0,04-2018,4,139.0
13102,1872.0,05-2018,0,139.0
13103,1872.0,06-2018,0,139.0
13105,1873.0,01-2018,5,6.0
13106,1873.0,02-2018,0,6.0
13107,1873.0,03-2018,1,6.0
13108,1873.0,04-2018,34,2.0
13109,1873.0,05-2018,0,2.0
13110,1873.0,06-2018,0,2.0
13112,1874.0,01-2018,0,29.0
13113,1874.0,02-2018,0,29.0
13114,1874.0,03-2018,0,29.0
13115,1874.0,04-2018,0,29.0
13116,1874.0,05-2018,276,29.0
13117,1874.0,06-2018,9,29.0
13119,1875.0,01-2018,0,33.0
13120,1875.0,02-2018,0,33.0
13121,1875.0,03-2018,0,33.0
13122,1875.0,04-2018,0,33.0
13123,1875.0,05-2018,202,33.0
13124,1875.0,06-2018,9,33.0
13126,1876.0,01-2018,0,14.0
13127,1876.0,02-2018,0,14.0
13128,1876.0,03-2018,0,14.0
13129,1876.0,04-2018,185,14.0
13130,1876.0,05-2018,2,14.0
13131,1876.0,06-2018,175,12.0
13133,1877.0,01-2018,2,5.0
13134,1877.0,02-2018,1,5.0
13135,1877.0,03-2018,0,5.0
13136,1877.0,04-2018,5,5.0
13137,1877.0,05-2018,39,5.0
13138,1877.0,06-2018,98,5.0
13140,1878.0,01-2018,0,76.0
13141,1878.0,02-2018,0,76.0
13142,1878.0,03-2018,0,76.0
13143,1878.0,04-2018,0,76.0
13144,1878.0,05-2018,46,76.0
13145,1878.0,06-2018,125,75.0
13147,1879.0,01-2018,0,128.0
13148,1879.0,02-2018,0,128.0
13149,1879.0,03-2018,0,128.0
13150,1879.0,04-2018,0,128.0
13151,1879.0,05-2018,462,128.0
13152,1879.0,06-2018,177,120.0
13154,1880.0,01-2018,2,30.0
13155,1880.0,02-2018,191,30.0
13156,1880.0,03-2018,93,29.0
13157,1880.0,04-2018,26,13.0
13158,1880.0,05-2018,196,29.0
13159,1880.0,06-2018,87,29.0
13161,1881.0,01-2018,181,45.0
13162,1881.0,02-2018,2,18.0
13163,1881.0,03-2018,2,18.0
13164,1881.0,04-2018,0,18.0
13165,1881.0,05-2018,0,18.0
13166,1881.0,06-2018,0,18.0
13168,1882.0,01-2018,7,34.0
13169,1882.0,02-2018,7,34.0
13170,1882.0,03-2018,3,34.0
13171,1882.0,04-2018,35,15.0
13172,1882.0,05-2018,0,15.0
13173,1882.0,06-2018,0,15.0
13175,1883.0,01-2018,0,204.0
13176,1883.0,02-2018,0,204.0
13177,1883.0,03-2018,55,204.0
13178,1883.0,04-2018,25,204.0
13179,1883.0,05-2018,1,197.0
13180,1883.0,06-2018,4,197.0
13182,1884.0,01-2018,75,63.0
13183,1884.0,02-2018,26,19.0
13184,1884.0,03-2018,1,19.0
13185,1884.0,04-2018,0,19.0
13186,1884.0,05-2018,0,19.0
13187,1884.0,06-2018,0,19.0
13189,1885.0,01-2018,0,38.0
13190,1885.0,02-2018,0,38.0
13191,1885.0,03-2018,165,38.0
13192,1885.0,04-2018,135,38.0
13193,1885.0,05-2018,3,38.0
13194,1885.0,06-2018,2,38.0
13196,1886.0,01-2018,0,2.0
13197,1886.0,02-2018,0,2.0
13198,1886.0,03-2018,143,2.0
13199,1886.0,04-2018,168,3.0
13200,1886.0,05-2018,133,3.0
13201,1886.0,06-2018,32,3.0
13203,1887.0,01-2018,0,5.0
13204,1887.0,02-2018,0,5.0
13205,1887.0,03-2018,0,5.0
13206,1887.0,04-2018,587,5.0
13207,1887.0,05-2018,176,5.0
13208,1887.0,06-2018,40,5.0
13210,1888.0,01-2018,0,67.0
13211,1888.0,02-2018,260,67.0
13212,1888.0,03-2018,137,69.0
13213,1888.0,04-2018,2,64.0
13214,1888.0,05-2018,0,64.0
13215,1888.0,06-2018,0,64.0
13217,1889.0,01-2018,0,18.0
13218,1889.0,02-2018,0,18.0
13219,1889.0,03-2018,0,18.0
13220,1889.0,04-2018,113,18.0
13221,1889.0,05-2018,5,19.0
13222,1889.0,06-2018,183,19.0
13224,1890.0,01-2018,0,11.0
13225,1890.0,02-2018,0,11.0
13226,1890.0,03-2018,0,11.0
13227,1890.0,04-2018,0,11.0
13228,1890.0,05-2018,0,11.0
13229,1890.0,06-2018,231,11.0
13231,1891.0,01-2018,0,18.0
13232,1891.0,02-2018,0,18.0
13233,1891.0,03-2018,0,18.0
13234,1891.0,04-2018,0,18.0
13235,1891.0,05-2018,0,18.0
13236,1891.0,06-2018,258,18.0
13238,1892.0,01-2018,0,66.0
13239,1892.0,02-2018,0,66.0
13240,1892.0,03-2018,0,66.0
13241,1892.0,04-2018,154,66.0
13242,1892.0,05-2018,2,64.0
13243,1892.0,06-2018,116,58.0
13245,1893.0,01-2018,0,24.0
13246,1893.0,02-2018,0,24.0
13247,1893.0,03-2018,0,24.0
13248,1893.0,04-2018,107,24.0
13249,1893.0,05-2018,0,24.0
13250,1893.0,06-2018,108,23.0
13252,1894.0,01-2018,0,29.0
13253,1894.0,02-2018,0,29.0
13254,1894.0,03-2018,0,29.0
13255,1894.0,04-2018,103,29.0
13256,1894.0,05-2018,11,29.0
13257,1894.0,06-2018,129,25.0
13259,1895.0,01-2018,0,47.0
13260,1895.0,02-2018,0,47.0
13261,1895.0,03-2018,0,47.0
13262,1895.0,04-2018,1,47.0
13263,1895.0,05-2018,1,47.0
13264,1895.0,06-2018,307,47.0
13266,1896.0,01-2018,0,21.0
13267,1896.0,02-2018,0,21.0
13268,1896.0,03-2018,0,21.0
13269,1896.0,04-2018,287,21.0
13270,1896.0,05-2018,12,22.0
13271,1896.0,06-2018,117,23.0
13273,1897.0,01-2018,0,2.0
13274,1897.0,02-2018,0,2.0
13275,1897.0,03-2018,0,2.0
13276,1897.0,04-2018,0,2.0
13277,1897.0,05-2018,0,2.0
13278,1897.0,06-2018,124,2.0
13280,1898.0,01-2018,0,37.0
13281,1898.0,02-2018,0,37.0
13282,1898.0,03-2018,0,37.0
13283,1898.0,04-2018,0,37.0
13284,1898.0,05-2018,0,37.0
13285,1898.0,06-2018,279,37.0
13287,1899.0,01-2018,0,68.0
13288,1899.0,02-2018,0,68.0
13289,1899.0,03-2018,1,68.0
13290,1899.0,04-2018,205,68.0
13291,1899.0,05-2018,3,65.0
13292,1899.0,06-2018,169,65.0
13294,1900.0,01-2018,0,27.0
13295,1900.0,02-2018,0,27.0
13296,1900.0,03-2018,0,27.0
13297,1900.0,04-2018,0,27.0
13298,1900.0,05-2018,0,27.0
13299,1900.0,06-2018,276,27.0
13301,1901.0,01-2018,0,57.0
13302,1901.0,02-2018,0,57.0
13303,1901.0,03-2018,0,57.0
13304,1901.0,04-2018,141,57.0
13305,1901.0,05-2018,2,51.0
13306,1901.0,06-2018,117,51.0
13308,1902.0,01-2018,0,28.0
13309,1902.0,02-2018,0,28.0
13310,1902.0,03-2018,1,28.0
13311,1902.0,04-2018,238,28.0
13312,1902.0,05-2018,3,27.0
13313,1902.0,06-2018,160,27.0
13315,1903.0,01-2018,0,27.0
13316,1903.0,02-2018,0,27.0
13317,1903.0,03-2018,0,27.0
13318,1903.0,04-2018,189,27.0
13319,1903.0,05-2018,1,27.0
13320,1903.0,06-2018,3,25.0
13322,1904.0,01-2018,0,44.0
13323,1904.0,02-2018,0,44.0
13324,1904.0,03-2018,200,44.0
13325,1904.0,04-2018,1,44.0
13326,1904.0,05-2018,0,44.0
13327,1904.0,06-2018,0,44.0
13329,1905.0,01-2018,0,21.0
13330,1905.0,02-2018,0,21.0
13331,1905.0,03-2018,0,21.0
13332,1905.0,04-2018,430,21.0
13333,1905.0,05-2018,194,18.0
13334,1905.0,06-2018,98,20.0
13336,1906.0,01-2018,0,123.0
13337,1906.0,02-2018,0,123.0
13338,1906.0,03-2018,2,123.0
13339,1906.0,04-2018,0,123.0
13340,1906.0,05-2018,348,123.0
13341,1906.0,06-2018,77,123.0
13343,1907.0,01-2018,0,15.0
13344,1907.0,02-2018,0,15.0
13345,1907.0,03-2018,0,15.0
13346,1907.0,04-2018,166,15.0
13347,1907.0,05-2018,131,14.0
13348,1907.0,06-2018,8,14.0
13350,1908.0,01-2018,0,2.0
13351,1908.0,02-2018,0,2.0
13352,1908.0,03-2018,0,2.0
13353,1908.0,04-2018,214,2.0
13354,1908.0,05-2018,4,2.0
13355,1908.0,06-2018,1,2.0
13357,1909.0,01-2018,0,11.0
13358,1909.0,02-2018,0,11.0
13359,1909.0,03-2018,0,11.0
13360,1909.0,04-2018,0,11.0
13361,1909.0,05-2018,126,11.0
13362,1909.0,06-2018,109,11.0
13364,1910.0,01-2018,0,32.0
13365,1910.0,02-2018,0,32.0
13366,1910.0,03-2018,0,32.0
13367,1910.0,04-2018,2,32.0
13368,1910.0,05-2018,0,32.0
13369,1910.0,06-2018,3,32.0
13371,1911.0,01-2018,0,39.0
13372,1911.0,02-2018,0,39.0
13373,1911.0,03-2018,0,39.0
13374,1911.0,04-2018,194,39.0
13375,1911.0,05-2018,9,39.0
13376,1911.0,06-2018,3,39.0
13378,1912.0,01-2018,0,90.0
13379,1912.0,02-2018,0,90.0
13380,1912.0,03-2018,0,90.0
13381,1912.0,04-2018,253,90.0
13382,1912.0,05-2018,87,82.0
13383,1912.0,06-2018,47,35.0
13385,1913.0,01-2018,1,8.0
13386,1913.0,02-2018,3,8.0
13387,1913.0,03-2018,1,8.0
13388,1913.0,04-2018,6,8.0
13389,1913.0,05-2018,85,8.0
13390,1913.0,06-2018,35,2.0
13392,1914.0,01-2018,1,94.0
13393,1914.0,02-2018,1,94.0
13394,1914.0,03-2018,1,94.0
13395,1914.0,04-2018,5,94.0
13396,1914.0,05-2018,349,94.0
13397,1914.0,06-2018,13,91.0
13399,1915.0,01-2018,0,44.0
13400,1915.0,02-2018,1,44.0
13401,1915.0,03-2018,79,44.0
13402,1915.0,04-2018,2,44.0
13403,1915.0,05-2018,0,44.0
13404,1915.0,06-2018,0,44.0
13406,1916.0,01-2018,0,18.0
13407,1916.0,02-2018,0,18.0
13408,1916.0,03-2018,107,18.0
13409,1916.0,04-2018,11,12.0
13410,1916.0,05-2018,108,9.0
13411,1916.0,06-2018,1,9.0
13413,1917.0,01-2018,0,12.0
13414,1917.0,02-2018,0,12.0
13415,1917.0,03-2018,45,12.0
13416,1917.0,04-2018,90,12.0
13417,1917.0,05-2018,91,12.0
13418,1917.0,06-2018,0,12.0
13420,1918.0,01-2018,0,61.0
13421,1918.0,02-2018,0,61.0
13422,1918.0,03-2018,108,61.0
13423,1918.0,04-2018,97,60.0
13424,1918.0,05-2018,173,50.0
13425,1918.0,06-2018,26,18.0
13427,1919.0,01-2018,0,11.0
13428,1919.0,02-2018,0,11.0
13429,1919.0,03-2018,37,11.0
13430,1919.0,04-2018,118,10.0
13431,1919.0,05-2018,0,10.0
13432,1919.0,06-2018,0,10.0
13434,1920.0,01-2018,109,16.0
13435,1920.0,02-2018,28,6.0
13436,1920.0,03-2018,1,8.0
13437,1920.0,04-2018,0,8.0
13438,1920.0,05-2018,0,8.0
13439,1920.0,06-2018,0,8.0
13441,1921.0,01-2018,1,54.0
13442,1921.0,02-2018,0,54.0
13443,1921.0,03-2018,99,54.0
13444,1921.0,04-2018,172,54.0
13445,1921.0,05-2018,101,50.0
13446,1921.0,06-2018,0,50.0
13448,1922.0,01-2018,0,24.0
13449,1922.0,02-2018,0,24.0
13450,1922.0,03-2018,0,24.0
13451,1922.0,04-2018,1,24.0
13452,1922.0,05-2018,76,24.0
13453,1922.0,06-2018,1,23.0
13455,1923.0,01-2018,0,26.0
13456,1923.0,02-2018,0,26.0
13457,1923.0,03-2018,0,26.0
13458,1923.0,04-2018,80,26.0
13459,1923.0,05-2018,45,24.0
13460,1923.0,06-2018,0,24.0
13462,1924.0,01-2018,0,188.0
13463,1924.0,02-2018,0,188.0
13464,1924.0,03-2018,114,188.0
13465,1924.0,04-2018,66,168.0
13466,1924.0,05-2018,0,168.0
13467,1924.0,06-2018,0,168.0
13469,1925.0,01-2018,0,118.0
13470,1925.0,02-2018,0,118.0
13471,1925.0,03-2018,0,118.0
13472,1925.0,04-2018,144,118.0
13473,1925.0,05-2018,83,73.0
13474,1925.0,06-2018,4,42.0
13476,1926.0,01-2018,0,179.0
13477,1926.0,02-2018,0,179.0
13478,1926.0,03-2018,0,179.0
13479,1926.0,04-2018,139,179.0
13480,1926.0,05-2018,0,179.0
13481,1926.0,06-2018,0,179.0
13483,1927.0,01-2018,0,271.0
13484,1927.0,02-2018,0,271.0
13485,1927.0,03-2018,1,271.0
13486,1927.0,04-2018,134,271.0
13487,1927.0,05-2018,125,180.0
13488,1927.0,06-2018,12,94.0
13490,1928.0,01-2018,2,70.0
13491,1928.0,02-2018,0,70.0
13492,1928.0,03-2018,1,70.0
13493,1928.0,04-2018,8,70.0
13494,1928.0,05-2018,206,70.0
13495,1928.0,06-2018,69,64.0
13497,1929.0,01-2018,0,79.0
13498,1929.0,02-2018,1,79.0
13499,1929.0,03-2018,0,79.0
13500,1929.0,04-2018,0,79.0
13501,1929.0,05-2018,238,79.0
13502,1929.0,06-2018,86,77.0
13504,1930.0,01-2018,0,65.0
13505,1930.0,02-2018,0,65.0
13506,1930.0,03-2018,0,65.0
13507,1930.0,04-2018,0,65.0
13508,1930.0,05-2018,283,65.0
13509,1930.0,06-2018,68,59.0
13511,1931.0,01-2018,0,7.0
13512,1931.0,02-2018,0,7.0
13513,1931.0,03-2018,0,7.0
13514,1931.0,04-2018,0,7.0
13515,1931.0,05-2018,244,7.0
13516,1931.0,06-2018,1,7.0
13518,1932.0,01-2018,2,110.0
13519,1932.0,02-2018,1,110.0
13520,1932.0,03-2018,3,110.0
13521,1932.0,04-2018,4,110.0
13522,1932.0,05-2018,70,104.0
13523,1932.0,06-2018,245,110.0
13525,1933.0,01-2018,4,72.0
13526,1933.0,02-2018,1,72.0
13527,1933.0,03-2018,0,72.0
13528,1933.0,04-2018,8,72.0
13529,1933.0,05-2018,283,72.0
13530,1933.0,06-2018,53,70.0
13532,1934.0,01-2018,0,158.0
13533,1934.0,02-2018,0,158.0
13534,1934.0,03-2018,0,158.0
13535,1934.0,04-2018,2,158.0
13536,1934.0,05-2018,3,158.0
13537,1934.0,06-2018,331,159.0
13539,1935.0,01-2018,0,17.0
13540,1935.0,02-2018,2,17.0
13541,1935.0,03-2018,0,17.0
13542,1935.0,04-2018,4,17.0
13543,1935.0,05-2018,154,17.0
13544,1935.0,06-2018,64,17.0
13546,1936.0,01-2018,0,5.0
13547,1936.0,02-2018,0,5.0
13548,1936.0,03-2018,0,5.0
13549,1936.0,04-2018,1,5.0
13550,1936.0,05-2018,164,5.0
13551,1936.0,06-2018,52,5.0
13553,1937.0,01-2018,1,22.0
13554,1937.0,02-2018,0,22.0
13555,1937.0,03-2018,0,22.0
13556,1937.0,04-2018,1,22.0
13557,1937.0,05-2018,227,21.0
13558,1937.0,06-2018,204,20.0
13560,1938.0,01-2018,0,102.0
13561,1938.0,02-2018,0,102.0
13562,1938.0,03-2018,0,102.0
13563,1938.0,04-2018,5,102.0
13564,1938.0,05-2018,74,99.0
13565,1938.0,06-2018,294,111.0
13567,1939.0,01-2018,3,37.0
13568,1939.0,02-2018,1,37.0
13569,1939.0,03-2018,4,37.0
13570,1939.0,04-2018,5,37.0
13571,1939.0,05-2018,209,37.0
13572,1939.0,06-2018,167,38.0
13574,1940.0,01-2018,0,60.0
13575,1940.0,02-2018,2,60.0
13576,1940.0,03-2018,1,60.0
13577,1940.0,04-2018,5,60.0
13578,1940.0,05-2018,167,60.0
13579,1940.0,06-2018,1,55.0
13581,1941.0,01-2018,0,22.0
13582,1941.0,02-2018,0,22.0
13583,1941.0,03-2018,0,22.0
13584,1941.0,04-2018,0,22.0
13585,1941.0,05-2018,0,22.0
13586,1941.0,06-2018,214,22.0
13588,1942.0,01-2018,0,8.0
13589,1942.0,02-2018,0,8.0
13590,1942.0,03-2018,59,8.0
13591,1942.0,04-2018,0,8.0
13592,1942.0,05-2018,0,8.0
13593,1942.0,06-2018,0,8.0
13595,1943.0,01-2018,0,22.0
13596,1943.0,02-2018,0,22.0
13597,1943.0,03-2018,154,22.0
13598,1943.0,04-2018,2,22.0
13599,1943.0,05-2018,70,22.0
13600,1943.0,06-2018,2,22.0
13602,1944.0,01-2018,0,29.0
13603,1944.0,02-2018,0,29.0
13604,1944.0,03-2018,0,29.0
13605,1944.0,04-2018,0,29.0
13606,1944.0,05-2018,99,29.0
13607,1944.0,06-2018,1,29.0
13609,1945.0,01-2018,1,62.0
13610,1945.0,02-2018,2,62.0
13611,1945.0,03-2018,171,61.0
13612,1945.0,04-2018,1,62.0
13613,1945.0,05-2018,38,62.0
13614,1945.0,06-2018,0,62.0
